"id","data","coordinates"
104,"{""name"": ""\u043f\u0440. \u041f\u043e\u0431\u0435\u0434\u044b - \u0442\u0440\u0430\u043c\u0432\u0430\u0439\u043d\u044b\u0435 \u043f\u0443\u0442\u0438""}","[39.538164, 52.580281]"
105,"{""name"": ""\u043f\u0440. \u041f\u043e\u0431\u0435\u0434\u044b - \u042e. \u041d\u0430\u0442\u0443\u0440\u0430\u043b\u0438\u0441\u0442\u043e\u0432""}","[39.566724, 52.597174]"
106,"{""name"": ""\u0420\u0435\u0432\u043e\u043b\u044e\u0446\u0438\u0438 \u043f\u043b. (2 \u0421\u041e. \u041f\u0435\u0440\u0435\u0445\u043e\u0434 \u0432 \u041d\u0438\u0436\u043d\u0438\u0439 \u043f\u0430\u0440\u043a \u0438 \u043f\u0435\u0440\u0435\u0445\u043e\u0434 \u043a \u041a.\u043f\u0440\u0443\u0434\u0443)""}","[39.599602, 52.60468]"
107,"{""name"": ""\u0421\u0432\u0438\u0440\u0438\u0434\u043e\u0432\u0430 - \u0411\u0435\u043b\u0430\u043d\u0430 (\u041c\u0435\u0436\u0434\u0443 \u0434\u043e\u043c\u0430\u043c\u0438 \u0421\u0432\u0438\u0440\u0438\u0434\u043e\u0432\u0430 \u0434.19 \u0438 \u0441\u0442\u0440.30)""}","[39.518847, 52.576748]"
108,"{""name"": ""\u0421\u0432\u0438\u0440\u0438\u0434\u043e\u0432\u0430 - \u041a\u043e\u0446\u0430\u0440\u044f (\u041c\u0435\u0436\u0434\u0443 \u0434\u043e\u043c\u0430\u043c\u0438 \u041a\u043e\u0446\u0430\u0440\u044f \u0434.7 \u0438 \u0421\u0432\u0438\u0440\u0438\u0434\u043e\u0432\u0430 \u0441\u0442\u0440.19)""}","[39.514061, 52.576064]"
109,"{""name"": ""\u0421\u0432\u0438\u0440\u0438\u0434\u043e\u0432\u0430 - \u0428\u0435\u0440\u0441\u0442\u043e\u0431\u0438\u0442\u043e\u0432\u0430 (\u043f\u043e \u043f\u0430\u0441\u043f\u043e\u0440\u0442\u0443: \u0421\u0432\u0438\u0440\u0438\u0434\u043e\u0432\u0430 - \u041a\u0440\u0438\u0432\u0435\u043d\u043a\u043e\u0432\u0430)""}","[39.505863, 52.579514]"
110,"{""name"": ""\u0421\u0432\u0438\u0440\u0438\u0434\u043e\u0432\u0430 - \u041a\u0440\u0438\u0432\u0435\u043d\u043a\u043e\u0432\u0430 (\u0421\u0432\u0438\u0440\u0438\u0434\u043e\u0432\u0430 \u0434.1)""}","[39.502919, 52.581027]"
111,"{""name"": ""\u0421\u0432\u0438\u0440\u0438\u0434\u043e\u0432\u0430 - \u041e\u0422\u0426""}","[39.510041, 52.577043]"
112,"{""name"": ""\u0421\u043e\u0432\u0435\u0442\u0441\u043a\u0430\u044f - \u041c.\u0413\u043e\u0440\u044c\u043a\u043e\u0433\u043e""}","[39.584837, 52.604074]"
113,"{""name"": ""\u0421\u043e\u0432\u0435\u0442\u0441\u043a\u0430\u044f - \u0424\u0440\u0443\u043d\u0437\u0435""}","[39.593582, 52.604362]"
114,"{""name"": ""\u0421\u043e\u0432\u0435\u0442\u0441\u043a\u0430\u044f - \u0422\u0435\u0440\u0435\u0448\u043a\u043e\u0432\u043e\u0439 (\u043f\u043b.\u041f\u043e\u0431\u0435\u0434\u044b /DeBasus)""}","[39.57517, 52.603748]"
115,"{""name"": ""\u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 - 24 \u043c\u0438\u043a\u0440. (\u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 \u0434.34 / \u0422\u041f-360)""}","[39.522148, 52.587086]"
116,"{""name"": ""\u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 - 26 \u043c\u0438\u043a\u0440. (\u0428\u0443\u043c\u0438\u043d\u0441\u043a\u043e\u0433\u043e \u0434.1\u0430 / \u041f\u0435\u0440\u0435\u0445\u043e\u0434 \u043e\u0442 \u0415\u0432\u0440\u043e\u043f\u044b \u043a \u041a\u043e\u043b\u0438\u0437\u0435\u044e)""}","[39.519001, 52.584997]"
117,"{""name"": ""\u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 - \u0448\u043a\u043e\u043b\u0430 \u211668 \u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 - \u043f\u043e\u043b\u0438\u0446\u0438\u044f \u21167 (2 \u0421\u041e)""}","[39.53349, 52.5942]"
118,"{""name"": ""\u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 - 29 \u043c\u0438\u043a\u0440. (\u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 \u0434.50)""}","[39.515129, 52.582469]"
119,"{""name"": ""\u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 - \u0411\u0435\u043b\u0430\u043d\u0430 (\u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 \u0434.59)""}","[39.512487, 52.580606]"
120,"{""name"": ""\u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 - \u0421\u0432\u0438\u0440\u0438\u0434\u043e\u0432\u0430 (\u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 \u0434.63)""}","[39.511908, 52.577453]"
121,"{""name"": ""\u0421\u0442\u0430\u0445\u0430\u043d\u043e\u0432\u0430 (32-33 \u043c\u0438\u043a\u0440.) - \u0432\u044b\u0435\u0437\u0434 \u043d\u0430 \u0412\u043e\u0440\u043e\u043d\u0435\u0436\u0441\u043a\u043e\u0435 \u0448\u043e\u0441\u0441\u0435""}","[39.513294, 52.573123]"
122,"{""name"": ""\u0421\u0442\u0443\u0434\u0435\u043d\u043e\u0432\u0441\u043a\u0430\u044f - 8 \u0448\u043a\u043e\u043b\u0430""}","[39.635223, 52.622931]"
123,"{""name"": ""\u0421\u0442\u0443\u0434\u0435\u043d\u043e\u0432\u0441\u043a\u0430\u044f - 9 \u0448\u043a\u043e\u043b\u0430""}","[39.619922, 52.618534]"
124,"{""name"": ""\u0421\u0442\u0443\u0434\u0435\u043d\u043e\u0432\u0441\u043a\u0430\u044f - \u041e\u041e\u0422 \""\u0413\u043e\u0440\u0433\u0430\u0437\""""}","[39.64178, 52.626479]"
125,"{""name"": ""\u0421\u0442\u0443\u0434\u0435\u043d\u043e\u0432\u0441\u043a\u0430\u044f - \u043f\u0440\u043e\u0445\u043e\u0434\u043d\u044b\u0435 \""\u0421\u043e\u043a\u043e\u043b\""""}","[39.648549, 52.629847]"
126,"{""name"": ""\u0421\u0442\u0443\u0434\u0435\u043d\u043e\u0432\u0441\u043a\u0430\u044f - \u0423\u0448\u0438\u043d\u0441\u043a\u043e\u0433\u043e - \u0411\u0430\u0443\u043c\u0430\u043d\u0430 (\u0417\u0430\u0432\u043e\u0434\u0441\u043a\u0430\u044f \u043f\u043b\u043e\u0449\u0430\u0434\u044c)""}","[39.662724, 52.635352]"
127,"{""name"": ""\u0421\u0442\u0443\u0434\u0435\u043d\u043e\u0432\u0441\u043a\u0430\u044f - \u0427\u0430\u043f\u0430\u0435\u0432\u0430""}","[39.628066, 52.620481]"
128,"{""name"": ""\u0421\u0442\u0443\u0434\u0435\u043d\u043e\u0432\u0441\u043a\u0430\u044f - \u042d\u043d\u0433\u0435\u043b\u044c\u0441\u0430 (\u0425\u043b\u0435\u0431\u043e\u0437\u0430\u0432\u043e\u0434)""}","[39.63854, 52.624349]"
129,"{""name"": ""\u0422\u0435\u0440\u0435\u0448\u043a\u043e\u0432\u043e\u0439 - 7 \u043c\u0438\u043a\u0440-\u043d (\u041c\u041e\u041b\u041b / \u041c\u0430\u043b\u0438\u0431\u0443)""}","[39.571578, 52.612291]"
130,"{""name"": ""\u0423\u0434\u0430\u0440\u043d\u0438\u043a\u043e\u0432 - \u0428\u043a\u043e\u043b\u0430 23 ""}","[39.483332, 52.574153]"
131,"{""name"": ""\u0424\u0440\u0430\u043d\u0446\u0435\u043d\u044e\u043a\u0430 \u043f\u043b. (\u043f\u0440. \u041c\u0438\u0440\u0430 - \u0414\u041a \u041d\u041b\u041c\u041a)""}","[39.619182, 52.582121]"
132,"{""name"": ""\u0424\u0440\u0443\u043d\u0437\u0435 - \u041d\u0435\u0434\u0435\u043b\u0438\u043d\u0430 (\u041d\u0435\u0434\u0435\u043b\u0438\u043d\u0430 - \u0424\u0440\u0443\u043d\u0437\u0435)""}","[39.591066, 52.596953]"
133,"{""name"": ""\u0426\u0438\u043e\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0433\u043e - \u0411\u043e\u043b\u044c\u043d\u0438\u0446\u0430 \u0423\u0412\u0414""}","[39.560394, 52.610303]"
134,"{""name"": ""\u0426\u0438\u043e\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0433\u043e - \u041a\u0430\u043c\u0435\u043d\u043d\u044b\u0439 \u043b\u043e\u0433""}","[39.569895, 52.611034]"
135,"{""name"": ""\u0426\u0438\u043e\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0433\u043e - \u041a\u043e\u0441\u043c\u043e\u043d\u0430\u0432\u0442\u043e\u0432 (\u041a\u043e\u0441\u043c\u043e\u043d\u0430\u0432\u0442\u043e\u0432 - \u0426\u0438\u043e\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0433\u043e)""}","[39.552838, 52.613109]"
136,"{""name"": ""\u0426\u0438\u043e\u043b\u043a\u043e\u0432\u0441\u043a\u043e\u0433\u043e \u0434.7/1""}","[39.551339, 52.615996]"
137,"{""name"": ""\u042e\u043d\u043e\u0448\u0435\u0441\u043a\u0430\u044f - \u0430\u0432\u0442\u043e\u0434\u043e\u0440\u043e\u0433\u0430 \""\u041e\u0431\u0445\u043e\u0434 \u0433. \u041b\u0438\u043f\u0435\u0446\u043a\u0430\"" (\u0410\u0417\u0421 \u0413\u0430\u0437\u043f\u0440\u043e\u043c)""}","[39.456306, 52.584861]"
